Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2022-01-26 15:30,Normal,42.49,245,9966.6,443.45,4.45,0,443.45,4.45,-602.7,-6.05,443.45,4.43,7
1,Entry long,2022-01-25 15:30,Normal,40.68,245,9966.6,443.45,4.45,0,443.45,4.45,-602.7,-6.05,443.45,4.43,7
2,Exit long,2022-01-28 21:30,Normal,36.33,297,10433.61,356.4,3.42,0,356.4,3.42,-543.51,-5.21,799.85,8.00,4
2,Entry long,2022-01-28 17:30,Normal,35.13,297,10433.61,356.4,3.42,0,356.4,3.42,-543.51,-5.21,799.85,8.00,4
3,Exit long,2022-01-31 19:30,Normal,41.83,266,10759.7,367.08,3.41,0,367.08,3.41,0,0.00,1166.93,11.67,3
3,Entry long,2022-01-31 16:30,Normal,40.45,266,10759.7,367.08,3.41,0,367.08,3.41,0,0.00,1166.93,11.67,3
4,Exit long,2022-02-01 17:30,Normal,43.87,263,11156.46,381.35,3.42,0,381.35,3.42,-186.73,-1.67,1548.28,15.48,2
4,Entry long,2022-02-01 15:30,Normal,42.42,263,11156.46,381.35,3.42,0,381.35,3.42,-186.73,-1.67,1548.28,15.48,2
5,Exit long,2022-02-02 21:30,Normal,48.01,248,11514.64,391.84,3.40,0,391.84,3.40,-329.84,-2.86,1940.12,19.40,6
5,Entry long,2022-02-02 15:30,Normal,46.43,248,11514.64,391.84,3.40,0,391.84,3.40,-329.84,-2.86,1940.12,19.40,6
6,Exit long,2022-02-04 20:30,Normal,43.13,286,11929.06,406.12,3.40,0,406.12,3.40,-68.64,-0.58,2346.24,23.46,2
6,Entry long,2022-02-04 18:30,Normal,41.71,286,11929.06,406.12,3.40,0,406.12,3.40,-68.64,-0.58,2346.24,23.46,2
7,Exit long,2022-02-08 18:30,Normal,44.55,286,12320.88,420.42,3.41,0,420.42,3.41,-514.8,-4.18,2766.66,27.67,10
7,Entry long,2022-02-07 15:30,Normal,43.08,286,12320.88,420.42,3.41,0,420.42,3.41,-514.8,-4.18,2766.66,27.67,10
8,Exit long,2022-02-09 17:30,Normal,48,275,12765.5,434.5,3.40,0,434.5,3.40,-22,-0.17,3201.16,32.01,2
8,Entry long,2022-02-09 15:30,Normal,46.42,275,12765.5,434.5,3.40,0,434.5,3.40,-22,-0.17,3201.16,32.01,2
9,Exit long,2022-02-14 19:30,Normal,36.82,330,13163.7,-1013.1,-7.70,0,46.2,0.35,-1013.1,-7.70,2188.06,21.88,3
9,Entry long,2022-02-14 16:30,Normal,39.89,330,13163.7,-1013.1,-7.70,0,46.2,0.35,-1013.1,-7.70,2188.06,21.88,3
10,Exit long,2022-02-16 21:30,Normal,45.08,279,12161.61,415.71,3.42,0,415.71,3.42,-504.99,-4.15,2603.77,26.04,10
10,Entry long,2022-02-15 18:30,Normal,43.59,279,12161.61,415.71,3.42,0,415.71,3.42,-504.99,-4.15,2603.77,26.04,10
11,Exit long,2022-02-23 20:30,Normal,35.76,325,12590.5,-968.5,-7.69,0,19.5,0.15,-968.5,-7.69,1635.27,16.35,3
11,Entry long,2022-02-23 17:30,Normal,38.74,325,12590.5,-968.5,-7.69,0,19.5,0.15,-968.5,-7.69,1635.27,16.35,3
12,Exit long,2022-02-24 19:30,Normal,35.04,343,11620.84,397.88,3.42,0,397.88,3.42,-246.96,-2.13,2033.15,20.33,3
12,Entry long,2022-02-24 16:30,Normal,33.88,343,11620.84,397.88,3.42,0,397.88,3.42,-246.96,-2.13,2033.15,20.33,3
13,Exit long,2022-02-25 16:30,Normal,39.88,311,11995.27,407.41,3.40,0,407.41,3.40,-146.17,-1.22,2440.56,24.41,1
13,Entry long,2022-02-25 15:30,Normal,38.57,311,11995.27,407.41,3.40,0,407.41,3.40,-146.17,-1.22,2440.56,24.41,1
14,Exit long,2022-03-03 16:30,Normal,36.23,316,12403,-954.32,-7.69,0,129.56,1.04,-954.32,-7.69,1486.24,14.86,5
14,Entry long,2022-03-02 18:30,Normal,39.25,316,12403,-954.32,-7.69,0,129.56,1.04,-954.32,-7.69,1486.24,14.86,5
15,Exit long,2022-03-07 16:30,Normal,31.14,340,11468.2,-880.6,-7.68,0,278.8,2.43,-880.6,-7.68,605.64,6.06,2
15,Entry long,2022-03-04 21:30,Normal,33.73,340,11468.2,-880.6,-7.68,0,278.8,2.43,-880.6,-7.68,605.64,6.06,2
16,Exit long,2022-03-08 17:30,Normal,29.71,369,10601.37,361.62,3.41,0,361.62,3.41,-228.78,-2.16,967.26,9.67,1
16,Entry long,2022-03-08 16:30,Normal,28.73,369,10601.37,361.62,3.41,0,361.62,3.41,-228.78,-2.16,967.26,9.67,1
17,Exit long,2022-03-09 18:30,Normal,33.93,334,10958.54,374.08,3.41,0,374.08,3.41,-13.36,-0.12,1341.34,13.41,2
17,Entry long,2022-03-09 16:30,Normal,32.81,334,10958.54,374.08,3.41,0,374.08,3.41,-13.36,-0.12,1341.34,13.41,2
18,Exit long,2022-03-15 14:30,Normal,27.92,420,11340,386.4,3.41,0,386.4,3.41,0,0.00,1727.74,17.28,1
18,Entry long,2022-03-14 20:30,Normal,27,420,11340,386.4,3.41,0,386.4,3.41,0,0.00,1727.74,17.28,1
19,Exit long,2022-03-16 18:30,Normal,31.8,340,11713,-901,-7.69,0,57.8,0.49,-901,-7.69,826.74,8.27,3
19,Entry long,2022-03-16 15:30,Normal,34.45,340,11713,-901,-7.69,0,57.8,0.49,-901,-7.69,826.74,8.27,3
20,Exit long,2022-03-18 19:30,Normal,38.2,293,10823.42,369.18,3.41,0,369.18,3.41,-290.07,-2.68,1195.92,11.96,5
20,Entry long,2022-03-18 14:30,Normal,36.94,293,10823.42,369.18,3.41,0,369.18,3.41,-290.07,-2.68,1195.92,11.96,5
