Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
21,Exit long,2022-03-22 14:30,Normal,39.06,296,11179.92,381.84,3.42,0,381.84,3.42,-76.96,-0.69,1577.76,15.78,1
21,Entry long,2022-03-21 20:30,Normal,37.77,296,11179.92,381.84,3.42,0,381.84,3.42,-76.96,-0.69,1577.76,15.78,1
22,Exit long,2022-03-24 15:30,Normal,38.2,313,11562.22,394.38,3.41,0,394.38,3.41,-59.47,-0.51,1972.14,19.72,1
22,Entry long,2022-03-24 14:30,Normal,36.94,313,11562.22,394.38,3.41,0,394.38,3.41,-59.47,-0.51,1972.14,19.72,1
23,Exit long,2022-03-28 21:30,Normal,41.16,300,11940,408,3.42,0,408,3.42,-33,-0.28,2380.14,23.80,2
23,Entry long,2022-03-28 19:30,Normal,39.8,300,11940,408,3.42,0,408,3.42,-33,-0.28,2380.14,23.80,2
24,Exit long,2022-03-29 20:30,Normal,44.17,289,12343.19,421.94,3.42,0,421.94,3.42,-176.29,-1.43,2802.08,28.02,5
24,Entry long,2022-03-29 15:30,Normal,42.71,289,12343.19,421.94,3.42,0,421.94,3.42,-176.29,-1.43,2802.08,28.02,5
25,Exit long,2022-04-04 15:30,Normal,35.82,369,12778.47,439.11,3.44,0,439.11,3.44,-243.54,-1.91,3241.19,32.41,3
25,Entry long,2022-04-01 19:30,Normal,34.63,369,12778.47,439.11,3.44,0,439.11,3.44,-243.54,-1.91,3241.19,32.41,3
26,Exit long,2022-04-06 19:30,Normal,30.44,449,13214.07,453.49,3.43,0,453.49,3.43,-35.92,-0.27,3694.68,36.95,1
26,Entry long,2022-04-06 18:30,Normal,29.43,449,13214.07,453.49,3.43,0,453.49,3.43,-35.92,-0.27,3694.68,36.95,1
27,Exit long,2022-04-07 20:30,Normal,29.99,472,13688,467.28,3.41,0,467.28,3.41,-155.76,-1.14,4161.96,41.62,2
27,Entry long,2022-04-07 18:30,Normal,29,472,13688,467.28,3.41,0,467.28,3.41,-155.76,-1.14,4161.96,41.62,2
28,Exit long,2022-04-12 15:30,Normal,27.22,539,14148.75,522.83,3.70,0,522.83,3.70,-355.74,-2.51,4684.79,46.85,4
28,Entry long,2022-04-11 18:30,Normal,26.25,539,14148.75,522.83,3.70,0,522.83,3.70,-355.74,-2.51,4684.79,46.85,4
29,Exit long,2022-04-14 20:30,Normal,25.42,533,14678.82,-1129.96,-7.70,0,95.94,0.65,-1129.96,-7.70,3554.83,35.55,11
29,Entry long,2022-04-13 16:30,Normal,27.54,533,14678.82,-1129.96,-7.70,0,95.94,0.65,-1129.96,-7.70,3554.83,35.55,11
30,Exit long,2022-04-18 19:30,Normal,26.77,523,13540.47,460.24,3.40,0,460.24,3.40,-324.26,-2.39,4015.07,40.15,3
30,Entry long,2022-04-18 16:30,Normal,25.89,523,13540.47,460.24,3.40,0,460.24,3.40,-324.26,-2.39,4015.07,40.15,3
31,Exit long,2022-04-20 15:30,Normal,29.18,509,14002.59,850.03,6.07,0,850.03,6.07,-193.42,-1.38,4865.1,48.65,5
31,Entry long,2022-04-19 17:30,Normal,27.51,509,14002.59,850.03,6.07,0,850.03,6.07,-193.42,-1.38,4865.1,48.65,5
32,Exit long,2022-04-21 18:30,Normal,26.46,518,14845.88,-1139.6,-7.68,0,119.14,0.80,-1139.6,-7.68,3725.5,37.26,3
32,Entry long,2022-04-21 15:30,Normal,28.66,518,14845.88,-1139.6,-7.68,0,119.14,0.80,-1139.6,-7.68,3725.5,37.26,3
33,Exit long,2022-04-25 21:30,Normal,24.78,572,13705.12,469.04,3.42,0,469.04,3.42,-223.08,-1.63,4194.54,41.95,4
33,Entry long,2022-04-25 17:30,Normal,23.96,572,13705.12,469.04,3.42,0,469.04,3.42,-223.08,-1.63,4194.54,41.95,4
34,Exit long,2022-04-27 15:30,Normal,20.99,620,14191.8,-1178,-8.30,0,43.4,0.31,-1178,-8.30,3016.54,30.17,5
34,Entry long,2022-04-26 17:30,Normal,22.89,620,14191.8,-1178,-8.30,0,43.4,0.31,-1178,-8.30,3016.54,30.17,5
35,Exit long,2022-04-28 16:30,Normal,22.76,591,13002,449.16,3.45,0,449.16,3.45,-147.75,-1.14,3465.7,34.66,1
35,Entry long,2022-04-28 15:30,Normal,22,591,13002,449.16,3.45,0,449.16,3.45,-147.75,-1.14,3465.7,34.66,1
36,Exit long,2022-05-02 21:30,Normal,23.39,595,13458.9,458.15,3.40,0,458.15,3.40,-862.75,-6.41,3923.85,39.24,4
36,Entry long,2022-05-02 17:30,Normal,22.62,595,13458.9,458.15,3.40,0,458.15,3.40,-862.75,-6.41,3923.85,39.24,4
37,Exit long,2022-05-04 20:30,Normal,25.05,574,13902.28,476.42,3.43,0,476.42,3.43,-912.66,-6.56,4400.27,44.00,11
37,Entry long,2022-05-03 16:30,Normal,24.22,574,13902.28,476.42,3.43,0,476.42,3.43,-912.66,-6.56,4400.27,44.00,11
38,Exit long,2022-05-10 15:30,Normal,20.9,712,14382.4,498.4,3.47,0,498.4,3.47,-1025.28,-7.13,4898.67,48.99,5
38,Entry long,2022-05-09 17:30,Normal,20.2,712,14382.4,498.4,3.47,0,498.4,3.47,-1025.28,-7.13,4898.67,48.99,5
39,Exit long,2022-05-12 20:30,Normal,17.49,786,14894.7,-1147.56,-7.70,0,70.74,0.47,-1147.56,-7.70,3751.11,37.51,4
39,Entry long,2022-05-12 16:30,Normal,18.95,786,14894.7,-1147.56,-7.70,0,70.74,0.47,-1147.56,-7.70,3751.11,37.51,4
40,Exit long,2022-05-17 15:30,Normal,22.44,633,13729.77,474.75,3.46,0,474.75,3.46,-689.97,-5.03,4225.86,42.26,3
40,Entry long,2022-05-16 19:30,Normal,21.69,633,13729.77,474.75,3.46,0,474.75,3.46,-689.97,-5.03,4225.86,42.26,3
41,Exit long,2022-05-20 20:30,Normal,18.21,807,14211.27,484.2,3.41,0,484.2,3.41,-177.54,-1.25,4710.06,47.10,1
41,Entry long,2022-05-20 19:30,Normal,17.61,807,14211.27,484.2,3.41,0,484.2,3.41,-177.54,-1.25,4710.06,47.10,1
42,Exit long,2022-05-23 17:30,Normal,19.97,761,14694.91,502.26,3.42,0,502.26,3.42,-312.01,-2.12,5212.32,52.12,2
42,Entry long,2022-05-23 15:30,Normal,19.31,761,14694.91,502.26,3.42,0,502.26,3.42,-312.01,-2.12,5212.32,52.12,2
43,Exit long,2022-05-25 20:30,Normal,19.8,794,15197.16,524.04,3.45,0,524.04,3.45,-452.58,-2.98,5736.36,57.36,5
43,Entry long,2022-05-25 15:30,Normal,19.14,794,15197.16,524.04,3.45,0,524.04,3.45,-452.58,-2.98,5736.36,57.36,5
44,Exit long,2022-05-27 15:30,Normal,22.91,734,15729.62,1086.32,6.91,0,1086.32,6.91,-168.82,-1.07,6822.68,68.23,6
44,Entry long,2022-05-26 16:30,Normal,21.43,734,15729.62,1086.32,6.91,0,1086.32,6.91,-168.82,-1.07,6822.68,68.23,6
45,Exit long,2022-06-02 20:30,Normal,25.27,688,16807.84,577.92,3.44,0,577.92,3.44,-151.36,-0.90,7400.6,74.01,4
45,Entry long,2022-06-02 16:30,Normal,24.43,688,16807.84,577.92,3.44,0,577.92,3.44,-151.36,-0.90,7400.6,74.01,4
46,Exit long,2022-06-09 15:30,Normal,21.69,738,17379.9,-1372.68,-7.90,0,339.48,1.95,-1372.68,-7.90,6027.92,60.28,11
46,Entry long,2022-06-07 18:30,Normal,23.55,738,17379.9,-1372.68,-7.90,0,339.48,1.95,-1372.68,-7.90,6027.92,60.28,11
47,Exit long,2022-06-10 19:30,Normal,19.06,869,16015.67,547.47,3.42,0,547.47,3.42,-86.9,-0.54,6575.39,65.75,2
47,Entry long,2022-06-10 17:30,Normal,18.43,869,16015.67,547.47,3.42,0,547.47,3.42,-86.9,-0.54,6575.39,65.75,2
48,Exit long,2022-06-15 15:30,Normal,16.09,1065,16571.4,564.45,3.41,0,564.45,3.41,-841.35,-5.08,7139.84,71.40,11
48,Entry long,2022-06-13 18:30,Normal,15.56,1065,16571.4,564.45,3.41,0,564.45,3.41,-841.35,-5.08,7139.84,71.40,11
49,Exit long,2022-06-17 15:30,Normal,13.59,1304,17134.56,586.8,3.42,0,586.8,3.42,-39.12,-0.23,7726.64,77.27,1
49,Entry long,2022-06-16 21:30,Normal,13.14,1304,17134.56,586.8,3.42,0,586.8,3.42,-39.12,-0.23,7726.64,77.27,1
50,Exit long,2022-06-23 15:30,Normal,13.52,1210,17726.5,-1367.3,-7.71,0,133.1,0.75,-1367.3,-7.71,6359.34,63.59,13
50,Entry long,2022-06-21 16:30,Normal,14.65,1210,17726.5,-1367.3,-7.71,0,133.1,0.75,-1367.3,-7.71,6359.34,63.59,13
51,Exit long,2022-06-27 15:30,Normal,15.84,1087,16348.48,869.6,5.32,0,869.6,5.32,-108.7,-0.66,7228.94,72.29,6
51,Entry long,2022-06-24 16:30,Normal,15.04,1087,16348.48,869.6,5.32,0,869.6,5.32,-108.7,-0.66,7228.94,72.29,6
52,Exit long,2022-07-01 15:30,Normal,11.99,1313,17226.56,-1483.69,-8.61,0,249.47,1.45,-1483.69,-8.61,5745.25,57.45,4
52,Entry long,2022-06-30 18:30,Normal,13.12,1313,17226.56,-1483.69,-8.61,0,249.47,1.45,-1483.69,-8.61,5745.25,57.45,4
53,Exit long,2022-07-05 20:30,Normal,11.35,1435,15741.95,545.3,3.46,0,545.3,3.46,-344.4,-2.19,6290.55,62.91,3
53,Entry long,2022-07-05 17:30,Normal,10.97,1435,15741.95,545.3,3.46,0,545.3,3.46,-344.4,-2.19,6290.55,62.91,3
54,Exit long,2022-07-06 19:30,Normal,11.89,1416,16284,552.24,3.39,0,552.24,3.39,-155.76,-0.96,6842.79,68.43,3
54,Entry long,2022-07-06 16:30,Normal,11.5,1416,16284,552.24,3.39,0,552.24,3.39,-155.76,-0.96,6842.79,68.43,3
55,Exit long,2022-07-07 19:30,Normal,13.43,1297,16835.06,583.65,3.47,0,583.65,3.47,-90.79,-0.54,7426.44,74.26,3
55,Entry long,2022-07-07 16:30,Normal,12.98,1297,16835.06,583.65,3.47,0,583.65,3.47,-90.79,-0.54,7426.44,74.26,3
56,Exit long,2022-07-13 15:30,Normal,11.88,1340,17420,-1500.8,-8.62,0,80.4,0.46,-1500.8,-8.62,5925.64,59.26,6
56,Entry long,2022-07-12 16:30,Normal,13,1340,17420,-1500.8,-8.62,0,80.4,0.46,-1500.8,-8.62,5925.64,59.26,6
57,Exit long,2022-07-15 21:30,Normal,14.67,1123,15924.14,550.27,3.46,0,550.27,3.46,-314.44,-1.97,6475.91,64.76,6
57,Entry long,2022-07-15 15:30,Normal,14.18,1123,15924.14,550.27,3.46,0,550.27,3.46,-314.44,-1.97,6475.91,64.76,6
58,Exit long,2022-07-18 17:30,Normal,15.71,1084,16465.96,563.68,3.42,0,563.68,3.42,-32.52,-0.20,7039.59,70.40,2
58,Entry long,2022-07-18 15:30,Normal,15.19,1084,16465.96,563.68,3.42,0,563.68,3.42,-32.52,-0.20,7039.59,70.40,2
59,Exit long,2022-07-20 15:30,Normal,17.05,1033,17023.84,588.81,3.46,0,588.81,3.46,-444.19,-2.61,7628.4,76.28,1
59,Entry long,2022-07-19 21:30,Normal,16.48,1033,17023.84,588.81,3.46,0,588.81,3.46,-444.19,-2.61,7628.4,76.28,1
60,Exit long,2022-07-27 15:30,Normal,17.38,1049,17623.2,608.42,3.45,0,608.42,3.45,-1049,-5.95,8236.82,82.37,8
60,Entry long,2022-07-25 21:30,Normal,16.8,1049,17623.2,608.42,3.45,0,608.42,3.45,-1049,-5.95,8236.82,82.37,8
61,Exit long,2022-07-29 18:30,Normal,19,992,18223.04,624.96,3.43,0,624.96,3.43,-555.52,-3.05,8861.78,88.62,8
61,Entry long,2022-07-28 17:30,Normal,18.37,992,18223.04,624.96,3.43,0,624.96,3.43,-555.52,-3.05,8861.78,88.62,8
62,Exit long,2022-08-03 18:30,Normal,20.41,955,18842.15,649.4,3.45,0,649.4,3.45,-1098.25,-5.83,9511.18,95.11,16
62,Entry long,2022-08-01 16:30,Normal,19.73,955,18842.15,649.4,3.45,0,649.4,3.45,-1098.25,-5.83,9511.18,95.11,16
63,Exit long,2022-08-08 17:30,Normal,19.47,924,19496.4,-1506.12,-7.73,0,489.72,2.51,-1506.12,-7.73,8005.06,80.05,16
63,Entry long,2022-08-04 15:30,Normal,21.1,924,19496.4,-1506.12,-7.73,0,489.72,2.51,-1506.12,-7.73,8005.06,80.05,16
64,Exit long,2022-08-10 15:30,Normal,18.54,1048,17994.16,1435.76,7.98,0,1435.76,7.98,0,0.00,9440.82,94.41,1
64,Entry long,2022-08-09 21:30,Normal,17.17,1048,17994.16,1435.76,7.98,0,1435.76,7.98,0,0.00,9440.82,94.41,1
65,Exit long,2022-08-12 16:30,Normal,20.62,975,19431.75,672.75,3.46,0,672.75,3.46,-770.25,-3.96,10113.57,101.14,7
65,Entry long,2022-08-11 16:30,Normal,19.93,975,19431.75,672.75,3.46,0,672.75,3.46,-770.25,-3.96,10113.57,101.14,7
66,Exit long,2022-08-17 15:30,Normal,19.37,958,20108.42,-1551.96,-7.72,0,344.88,1.72,-1551.96,-7.72,8561.61,85.62,11
66,Entry long,2022-08-15 18:30,Normal,20.99,958,20108.42,-1551.96,-7.72,0,344.88,1.72,-1551.96,-7.72,8561.61,85.62,11
67,Exit long,2022-08-18 16:30,Normal,20.48,937,18552.6,637.16,3.43,0,637.16,3.43,-93.7,-0.51,9198.77,91.99,1
67,Entry long,2022-08-18 15:30,Normal,19.8,937,18552.6,637.16,3.43,0,637.16,3.43,-93.7,-0.51,9198.77,91.99,1
68,Exit long,2022-08-25 15:30,Normal,17.8,1115,19189.15,657.85,3.43,0,657.85,3.43,-1003.5,-5.23,9856.62,98.57,14
68,Entry long,2022-08-23 15:30,Normal,17.21,1115,19189.15,657.85,3.43,0,657.85,3.43,-1003.5,-5.23,9856.62,98.57,14
69,Exit long,2022-09-01 15:30,Normal,12.66,1409,19852.81,-2014.87,-10.15,0,267.71,1.35,-2014.87,-10.15,7841.75,78.42,8
69,Entry long,2022-08-30 21:30,Normal,14.09,1409,19852.81,-2014.87,-10.15,0,267.71,1.35,-2014.87,-10.15,7841.75,78.42,8
70,Exit long,2022-09-02 19:30,Normal,12.38,1330,17835.3,-1369.9,-7.68,0,438.9,2.46,-1369.9,-7.68,6471.85,64.72,4
70,Entry long,2022-09-02 15:30,Normal,13.41,1330,17835.3,-1369.9,-7.68,0,438.9,2.46,-1369.9,-7.68,6471.85,64.72,4
71,Exit long,2022-09-07 20:30,Normal,12.76,1334,16461.56,560.28,3.40,0,560.28,3.40,-226.78,-1.38,7032.13,70.32,4
71,Entry long,2022-09-07 16:30,Normal,12.34,1334,16461.56,560.28,3.40,0,560.28,3.40,-226.78,-1.38,7032.13,70.32,4
72,Exit long,2022-09-09 15:30,Normal,13.86,1278,17022.96,690.12,4.05,0,690.12,4.05,-920.16,-5.41,7722.25,77.22,6
72,Entry long,2022-09-08 16:30,Normal,13.32,1278,17022.96,690.12,4.05,0,690.12,4.05,-920.16,-5.41,7722.25,77.22,6
73,Exit long,2022-09-13 15:30,Normal,12.81,1222,17719,-2065.18,-11.66,0,85.54,0.48,-2065.18,-11.66,5657.07,56.57,7
73,Entry long,2022-09-12 15:30,Normal,14.5,1222,17719,-2065.18,-11.66,0,85.54,0.48,-2065.18,-11.66,5657.07,56.57,7
74,Exit long,2022-09-16 15:30,Normal,11.15,1291,15646.92,-1252.27,-8.00,0,322.75,2.06,-1252.27,-8.00,4404.8,44.05,13
74,Entry long,2022-09-14 16:30,Normal,12.12,1291,15646.92,-1252.27,-8.00,0,322.75,2.06,-1252.27,-8.00,4404.8,44.05,13
75,Exit long,2022-09-21 20:30,Normal,12.24,1217,14397.11,498.97,3.47,0,498.97,3.47,-827.56,-5.75,4903.77,49.04,19
75,Entry long,2022-09-19 15:30,Normal,11.83,1217,14397.11,498.97,3.47,0,498.97,3.47,-827.56,-5.75,4903.77,49.04,19
76,Exit long,2022-09-26 15:30,Normal,10.07,1531,14896.63,520.54,3.49,0,520.54,3.49,-168.41,-1.13,5424.31,54.24,1
76,Entry long,2022-09-23 21:30,Normal,9.73,1531,14896.63,520.54,3.49,0,520.54,3.49,-168.41,-1.13,5424.31,54.24,1
77,Exit long,2022-09-28 17:30,Normal,9.89,1613,15420.28,532.29,3.45,0,532.29,3.45,-645.2,-4.18,5956.6,59.57,8
77,Entry long,2022-09-27 16:30,Normal,9.56,1613,15420.28,532.29,3.45,0,532.29,3.45,-645.2,-4.18,5956.6,59.57,8
78,Exit long,2022-09-30 16:30,Normal,9.32,1770,15947.7,548.7,3.44,0,548.7,3.44,-601.8,-3.77,6505.3,65.05,2
78,Entry long,2022-09-29 21:30,Normal,9.01,1770,15947.7,548.7,3.44,0,548.7,3.44,-601.8,-3.77,6505.3,65.05,2
79,Exit long,2022-10-04 15:30,Normal,10.34,1733,16498.16,1421.06,8.61,0,1421.06,8.61,-398.59,-2.42,7926.36,79.26,6
79,Entry long,2022-10-03 16:30,Normal,9.52,1733,16498.16,1421.06,8.61,0,1421.06,8.61,-398.59,-2.42,7926.36,79.26,6
80,Exit long,2022-10-06 15:30,Normal,11.4,1626,17918.52,617.88,3.45,0,617.88,3.45,-146.34,-0.82,8544.24,85.44,4
80,Entry long,2022-10-05 18:30,Normal,11.02,1626,17918.52,617.88,3.45,0,617.88,3.45,-146.34,-0.82,8544.24,85.44,4
81,Exit long,2022-10-11 15:30,Normal,7.35,2326,18538.22,-1442.12,-7.78,0,558.24,3.01,-1442.12,-7.78,7102.12,71.02,3
81,Entry long,2022-10-10 19:30,Normal,7.97,2326,18538.22,-1442.12,-7.78,0,558.24,3.01,-1442.12,-7.78,7102.12,71.02,3
82,Exit long,2022-10-13 18:30,Normal,7.66,2307,17094.87,576.75,3.37,0,576.75,3.37,-69.21,-0.40,7678.87,76.79,1
82,Entry long,2022-10-13 17:30,Normal,7.41,2307,17094.87,576.75,3.37,0,576.75,3.37,-69.21,-0.40,7678.87,76.79,1
83,Exit long,2022-10-18 15:30,Normal,7.84,2448,17674.56,1517.76,8.59,0,1517.76,8.59,-318.24,-1.80,9196.63,91.97,6
83,Entry long,2022-10-17 16:30,Normal,7.22,2448,17674.56,1517.76,8.59,0,1517.76,8.59,-318.24,-1.80,9196.63,91.97,6
84,Exit long,2022-10-20 15:30,Normal,7.84,2532,19192.56,658.32,3.43,0,658.32,3.43,-1114.08,-5.80,9854.95,98.55,7
84,Entry long,2022-10-19 15:30,Normal,7.58,2532,19192.56,658.32,3.43,0,658.32,3.43,-1114.08,-5.80,9854.95,98.55,7
85,Exit long,2022-10-21 17:30,Normal,8.12,2532,19850.88,708.96,3.57,0,708.96,3.57,0,0.00,10563.91,105.64,1
85,Entry long,2022-10-21 16:30,Normal,7.84,2532,19850.88,708.96,3.57,0,708.96,3.57,0,0.00,10563.91,105.64,1
86,Exit long,2022-10-25 15:30,Normal,8.71,2445,20562.45,733.5,3.57,0,733.5,3.57,-391.2,-1.90,11297.41,112.97,5
86,Entry long,2022-10-24 17:30,Normal,8.41,2445,20562.45,733.5,3.57,0,733.5,3.57,-391.2,-1.90,11297.41,112.97,5
87,Exit long,2022-10-28 16:30,Normal,9.03,2439,21292.47,731.7,3.44,0,731.7,3.44,-170.73,-0.80,12029.11,120.29,1
87,Entry long,2022-10-28 15:30,Normal,8.73,2439,21292.47,731.7,3.44,0,731.7,3.44,-170.73,-0.80,12029.11,120.29,1
88,Exit long,2022-11-02 18:30,Normal,9.3,2450,22025.5,759.5,3.45,0,759.5,3.45,-465.5,-2.11,12788.61,127.89,3
88,Entry long,2022-11-02 15:30,Normal,8.99,2450,22025.5,759.5,3.45,0,759.5,3.45,-465.5,-2.11,12788.61,127.89,3
89,Exit long,2022-11-10 20:30,Normal,11.56,2040,22786.8,795.6,3.49,0,795.6,3.49,-224.4,-0.98,13584.21,135.84,3
89,Entry long,2022-11-10 17:30,Normal,11.17,2040,22786.8,795.6,3.49,0,795.6,3.49,-224.4,-0.98,13584.21,135.84,3
90,Exit long,2022-11-18 15:30,Normal,12.67,1942,23575.88,1029.26,4.37,0,1029.26,4.37,-602.02,-2.55,14613.47,146.13,4
90,Entry long,2022-11-17 18:30,Normal,12.14,1942,23575.88,1029.26,4.37,0,1029.26,4.37,-602.02,-2.55,14613.47,146.13,4
91,Exit long,2022-11-22 16:30,Normal,12.01,2120,24613.2,848,3.45,0,848,3.45,-106,-0.43,15461.47,154.61,4
91,Entry long,2022-11-21 19:30,Normal,11.61,2120,24613.2,848,3.45,0,848,3.45,-106,-0.43,15461.47,154.61,4
92,Exit long,2022-11-30 19:30,Normal,12.2,2157,25452.6,862.8,3.39,0,862.8,3.39,-1272.63,-5.00,16324.27,163.24,11
92,Entry long,2022-11-29 15:30,Normal,11.8,2157,25452.6,862.8,3.39,0,862.8,3.39,-1272.63,-5.00,16324.27,163.24,11
93,Exit long,2022-12-06 15:30,Normal,11.72,2071,26322.41,-2050.29,-7.79,0,227.81,0.87,-2050.29,-7.79,14273.98,142.74,8
93,Entry long,2022-12-02 21:30,Normal,12.71,2071,26322.41,-2050.29,-7.79,0,227.81,0.87,-2050.29,-7.79,14273.98,142.74,8
94,Exit long,2022-12-08 15:30,Normal,11.72,2142,24268.86,835.38,3.44,0,835.38,3.44,-342.72,-1.41,15109.36,151.09,7
94,Entry long,2022-12-07 15:30,Normal,11.33,2142,24268.86,835.38,3.44,0,835.38,3.44,-342.72,-1.41,15109.36,151.09,7
95,Exit long,2022-12-13 15:30,Normal,14.34,2033,25107.55,4045.67,16.11,0,4045.67,16.11,-1423.1,-5.67,19155.03,191.55,14
