Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
92,Entry long,2012-07-09 21:30,Normal,0.39,21452,8366.28,-858.08,-10.26,0,0,0.00,-858.08,-10.26,-2491.73,-24.92,6
93,Exit long,2012-07-12 15:30,Normal,0.33,20856,7508.16,-625.68,-8.33,0,0,0.00,-625.68,-8.33,-3117.41,-31.17,7
93,Entry long,2012-07-11 15:30,Normal,0.36,20856,7508.16,-625.68,-8.33,0,0,0.00,-625.68,-8.33,-3117.41,-31.17,7
94,Exit long,2012-08-03 19:30,Normal,0.45,16006,6882.58,320.12,4.65,0,320.12,4.65,-480.18,-6.98,-2797.29,-27.97,25
94,Entry long,2012-07-31 15:30,Normal,0.43,16006,6882.58,320.12,4.65,0,320.12,4.65,-480.18,-6.98,-2797.29,-27.97,25
95,Exit long,2012-08-16 20:30,Normal,0.51,14699,7202.51,293.98,4.08,0,293.98,4.08,-440.97,-6.12,-2503.31,-25.03,32
95,Entry long,2012-08-09 21:30,Normal,0.49,14699,7202.51,293.98,4.08,0,293.98,4.08,-440.97,-6.12,-2503.31,-25.03,32
96,Exit long,2012-08-21 15:30,Normal,0.5,15618,7496.64,312.36,4.17,0,312.36,4.17,0,0.00,-2190.95,-21.91,1
96,Entry long,2012-08-20 21:30,Normal,0.48,15618,7496.64,312.36,4.17,0,312.36,4.17,0,0.00,-2190.95,-21.91,1
97,Exit long,2012-09-06 17:30,Normal,0.49,16615,7809.05,332.3,4.26,0,332.3,4.26,-498.45,-6.38,-1858.65,-18.59,63
97,Entry long,2012-08-22 21:30,Normal,0.47,16615,7809.05,332.3,4.26,0,332.3,4.26,-498.45,-6.38,-1858.65,-18.59,63
98,Exit long,2012-09-14 15:30,Normal,0.49,17698,8141.08,530.94,6.52,0,530.94,6.52,-176.98,-2.17,-1327.71,-13.28,19
98,Entry long,2012-09-11 17:30,Normal,0.46,17698,8141.08,530.94,6.52,0,530.94,6.52,-176.98,-2.17,-1327.71,-13.28,19
99,Exit long,2012-09-21 15:30,Normal,0.47,19271,8671.95,385.42,4.44,0,385.42,4.44,0,0.00,-942.29,-9.42,3
99,Entry long,2012-09-20 19:30,Normal,0.45,19271,8671.95,385.42,4.44,0,385.42,4.44,0,0.00,-942.29,-9.42,3
100,Exit long,2012-09-26 19:30,Normal,0.4,23224,9057.36,232.24,2.56,0,232.24,2.56,-232.24,-2.56,-710.05,-7.10,3
100,Entry long,2012-09-26 16:30,Normal,0.39,23224,9057.36,232.24,2.56,0,232.24,2.56,-232.24,-2.56,-710.05,-7.10,3
101,Exit long,2012-10-16 16:30,Normal,0.4,24447,9289.86,488.94,5.26,0,488.94,5.26,-488.94,-5.26,-221.11,-2.21,33
101,Entry long,2012-10-09 18:30,Normal,0.38,24447,9289.86,488.94,5.26,0,488.94,5.26,-488.94,-5.26,-221.11,-2.21,33
102,Exit long,2012-11-01 14:30,Normal,0.38,27163,9778.68,543.26,5.56,0,543.26,5.56,-543.26,-5.56,322.15,3.22,42
102,Entry long,2012-10-22 15:30,Normal,0.36,27163,9778.68,543.26,5.56,0,543.26,5.56,-543.26,-5.56,322.15,3.22,42
103,Exit long,2012-11-05 21:30,Normal,0.4,26467,10322.13,264.67,2.56,0,264.67,2.56,-264.67,-2.56,586.82,5.87,5
103,Entry long,2012-11-05 16:30,Normal,0.39,26467,10322.13,264.67,2.56,0,264.67,2.56,-264.67,-2.56,586.82,5.87,5
104,Exit long,2012-11-14 20:30,Normal,0.34,28613,10586.81,-858.39,-8.11,0,286.13,2.70,-858.39,-8.11,-271.57,-2.72,25
